Dataset,method,Experiment,Accuracy
18_maternal,8_dynamic + datawig + knn,28,0.6975 ± 0.0577
18_maternal,8_dynamic + datawig + knn,29,0.6976 ± 0.0575
18_maternal,8_dynamic + datawig + knn,30,0.6968 ± 0.0569
18_maternal,9_datawig+zero+knn.py,1,0.4122 ± 0.0386
18_maternal,9_datawig+zero+knn.py,2,0.4729 ± 0.0669
18_maternal,9_datawig+zero+knn.py,3,0.4833 ± 0.0573
18_maternal,9_datawig+zero+knn.py,4,0.4938 ± 0.0543
18_maternal,9_datawig+zero+knn.py,5,0.5021 ± 0.0519
18_maternal,9_datawig+zero+knn.py,6,0.4989 ± 0.0504
18_maternal,9_datawig+zero+knn.py,7,0.5015 ± 0.0474
18_maternal,9_datawig+zero+knn.py,8,0.5043 ± 0.0466
18_maternal,9_datawig+zero+knn.py,9,0.5085 ± 0.0459
18_maternal,9_datawig+zero+knn.py,10,0.5008 ± 0.0512
18_maternal,9_datawig+zero+knn.py,11,0.4977 ± 0.0502
18_maternal,9_datawig+zero+knn.py,12,0.4978 ± 0.0510
18_maternal,9_datawig+zero+knn.py,13,0.5037 ± 0.0550
18_maternal,9_datawig+zero+knn.py,14,0.5040 ± 0.0536
18_maternal,9_datawig+zero+knn.py,15,0.5096 ± 0.0580
18_maternal,9_datawig+zero+knn.py,16,0.5099 ± 0.0564
18_maternal,9_datawig+zero+knn.py,17,0.5099 ± 0.0552
18_maternal,9_datawig+zero+knn.py,18,0.5094 ± 0.0538
18_maternal,9_datawig+zero+knn.py,19,0.5098 ± 0.0529
18_maternal,9_datawig+zero+knn.py,20,0.5100 ± 0.0517
18_maternal,9_datawig+zero+knn.py,21,0.5130 ± 0.0525
18_maternal,9_datawig+zero+knn.py,22,0.5149 ± 0.0526
18_maternal,9_datawig+zero+knn.py,23,0.5140 ± 0.0538
18_maternal,9_datawig+zero+knn.py,24,0.5135 ± 0.0531
18_maternal,9_datawig+zero+knn.py,25,0.5128 ± 0.0532
18_maternal,9_datawig+zero+knn.py,26,0.5135 ± 0.0532
18_maternal,9_datawig+zero+knn.py,27,0.5115 ± 0.0534
18_maternal,9_datawig+zero+knn.py,28,0.5111 ± 0.0531
18_maternal,9_datawig+zero+knn.py,29,0.5114 ± 0.0522
18_maternal,9_datawig+zero+knn.py,30,0.5097 ± 0.0530
18_maternal,10_dynamic+zero+knn,1,0.6355 ± 0.0000
18_maternal,10_dynamic+zero+knn,2,0.6355 ± 0.0000
18_maternal,10_dynamic+zero+knn,3,0.6256 ± 0.0000
18_maternal,10_dynamic+zero+knn,4,0.6256 ± 0.0000
18_maternal,10_dynamic+zero+knn,5,0.6256 ± 0.0000
18_maternal,10_dynamic+zero+knn,6,0.6601 ± 0.0000
18_maternal,10_dynamic+zero+knn,7,0.6355 ± 0.0000
18_maternal,10_dynamic+zero+knn,8,0.6404 ± 0.0000
18_maternal,10_dynamic+zero+knn,9,0.6453 ± 0.0000
18_maternal,10_dynamic+zero+knn,10,0.6700 ± 0.0000
18_maternal,10_dynamic+zero+knn,11,0.6700 ± 0.0000
18_maternal,10_dynamic+zero+knn,12,0.6010 ± 0.0000
18_maternal,10_dynamic+zero+knn,13,0.6010 ± 0.0000
18_maternal,10_dynamic+zero+knn,14,0.6256 ± 0.0000
18_maternal,10_dynamic+zero+knn,15,0.6502 ± 0.0000
18_maternal,10_dynamic+zero+knn,16,0.6108 ± 0.0000
18_maternal,10_dynamic+zero+knn,17,0.6305 ± 0.0000
18_maternal,10_dynamic+zero+knn,18,0.5764 ± 0.0000
18_maternal,10_dynamic+zero+knn,19,0.6256 ± 0.0000
18_maternal,10_dynamic+zero+knn,20,0.6158 ± 0.0000
18_maternal,10_dynamic+zero+knn,21,0.6256 ± 0.0000
18_maternal,10_dynamic+zero+knn,22,0.6158 ± 0.0000
18_maternal,10_dynamic+zero+knn,23,0.6108 ± 0.0000
