Dataset,method,Experiment,Accuracy
14_national,7_dynamic + datawig + zero,24,0.9285 ± 0.0484
14_national,7_dynamic + datawig + zero,25,0.9282 ± 0.0486
14_national,7_dynamic + datawig + zero,26,0.9283 ± 0.0484
14_national,7_dynamic + datawig + zero,27,0.9280 ± 0.0487
14_national,7_dynamic + datawig + zero,28,0.9276 ± 0.0490
14_national,7_dynamic + datawig + zero,29,0.9273 ± 0.0489
14_national,7_dynamic + datawig + zero,30,0.9272 ± 0.0488
14_national,8_dynamic + datawig + knn,1,0.9240 ± 0.0471
14_national,8_dynamic + datawig + knn,2,0.9306 ± 0.0425
14_national,8_dynamic + datawig + knn,3,0.9327 ± 0.0417
14_national,8_dynamic + datawig + knn,4,0.9326 ± 0.0406
14_national,8_dynamic + datawig + knn,5,0.9327 ± 0.0414
14_national,8_dynamic + datawig + knn,6,0.9323 ± 0.0424
14_national,8_dynamic + datawig + knn,7,0.9303 ± 0.0446
14_national,8_dynamic + datawig + knn,8,0.9300 ± 0.0445
14_national,8_dynamic + datawig + knn,9,0.9280 ± 0.0453
14_national,8_dynamic + datawig + knn,10,0.9276 ± 0.0469
14_national,8_dynamic + datawig + knn,11,0.9282 ± 0.0466
14_national,8_dynamic + datawig + knn,12,0.9279 ± 0.0463
14_national,8_dynamic + datawig + knn,13,0.9289 ± 0.0461
14_national,8_dynamic + datawig + knn,14,0.9282 ± 0.0459
14_national,8_dynamic + datawig + knn,15,0.9279 ± 0.0457
14_national,8_dynamic + datawig + knn,16,0.9265 ± 0.0464
14_national,8_dynamic + datawig + knn,17,0.9265 ± 0.0467
14_national,8_dynamic + datawig + knn,18,0.9269 ± 0.0471
14_national,8_dynamic + datawig + knn,19,0.9266 ± 0.0479
14_national,8_dynamic + datawig + knn,20,0.9269 ± 0.0478
14_national,8_dynamic + datawig + knn,21,0.9274 ± 0.0476
14_national,8_dynamic + datawig + knn,22,0.9273 ± 0.0475
14_national,8_dynamic + datawig + knn,23,0.9268 ± 0.0478
14_national,8_dynamic + datawig + knn,24,0.9273 ± 0.0476
14_national,8_dynamic + datawig + knn,25,0.9270 ± 0.0479
14_national,8_dynamic + datawig + knn,26,0.9270 ± 0.0477
14_national,8_dynamic + datawig + knn,27,0.9266 ± 0.0479
14_national,8_dynamic + datawig + knn,28,0.9263 ± 0.0482
14_national,8_dynamic + datawig + knn,29,0.9260 ± 0.0482
14_national,8_dynamic + datawig + knn,30,0.9259 ± 0.0481
14_national,9_datawig+zero+knn.py,1,0.9042 ± 0.0214
14_national,9_datawig+zero+knn.py,2,0.9214 ± 0.0256
14_national,9_datawig+zero+knn.py,3,0.9211 ± 0.0234
14_national,9_datawig+zero+knn.py,4,0.9242 ± 0.0218
14_national,9_datawig+zero+knn.py,5,0.9230 ± 0.0202
14_national,9_datawig+zero+knn.py,6,0.9256 ± 0.0195
