Dataset,method,Experiment,Accuracy
21_yeast,8_dynamic + datawig + knn,24,0.9953 ± 0.0042
21_yeast,8_dynamic + datawig + knn,25,0.9955 ± 0.0042
21_yeast,8_dynamic + datawig + knn,26,0.9955 ± 0.0042
21_yeast,8_dynamic + datawig + knn,27,0.9957 ± 0.0042
21_yeast,8_dynamic + datawig + knn,28,0.9958 ± 0.0042
21_yeast,8_dynamic + datawig + knn,29,0.9959 ± 0.0041
21_yeast,8_dynamic + datawig + knn,30,0.9959 ± 0.0041
21_yeast,9_datawig+zero+knn.py,1,0.0000 ± 0.0000
21_yeast,9_datawig+zero+knn.py,2,0.0017 ± 0.0017
21_yeast,9_datawig+zero+knn.py,3,0.0034 ± 0.0027
21_yeast,9_datawig+zero+knn.py,4,0.0034 ± 0.0024
21_yeast,9_datawig+zero+knn.py,5,0.0034 ± 0.0021
21_yeast,9_datawig+zero+knn.py,6,0.0034 ± 0.0019
21_yeast,9_datawig+zero+knn.py,7,0.0048 ± 0.0040
21_yeast,9_datawig+zero+knn.py,8,0.0051 ± 0.0038
21_yeast,9_datawig+zero+knn.py,9,0.0049 ± 0.0036
21_yeast,9_datawig+zero+knn.py,10,0.0054 ± 0.0037
21_yeast,9_datawig+zero+knn.py,11,0.0049 ± 0.0039
21_yeast,9_datawig+zero+knn.py,12,0.0051 ± 0.0038
21_yeast,9_datawig+zero+knn.py,13,0.0049 ± 0.0036
21_yeast,9_datawig+zero+knn.py,14,0.0048 ± 0.0035
21_yeast,9_datawig+zero+knn.py,15,0.0047 ± 0.0034
21_yeast,9_datawig+zero+knn.py,16,0.0046 ± 0.0033
21_yeast,9_datawig+zero+knn.py,17,0.0048 ± 0.0033
21_yeast,9_datawig+zero+knn.py,18,0.0045 ± 0.0034
21_yeast,9_datawig+zero+knn.py,19,0.0046 ± 0.0033
21_yeast,9_datawig+zero+knn.py,20,0.0044 ± 0.0034
21_yeast,9_datawig+zero+knn.py,21,0.0043 ± 0.0033
21_yeast,9_datawig+zero+knn.py,22,0.0043 ± 0.0032
21_yeast,9_datawig+zero+knn.py,23,0.0042 ± 0.0032
21_yeast,9_datawig+zero+knn.py,24,0.0041 ± 0.0032
21_yeast,9_datawig+zero+knn.py,25,0.0039 ± 0.0033
21_yeast,9_datawig+zero+knn.py,26,0.0039 ± 0.0032
21_yeast,9_datawig+zero+knn.py,27,0.0037 ± 0.0032
21_yeast,9_datawig+zero+knn.py,28,0.0036 ± 0.0032
21_yeast,9_datawig+zero+knn.py,29,0.0035 ± 0.0032
21_yeast,9_datawig+zero+knn.py,30,0.0035 ± 0.0032
21_yeast,10_dynamic+zero+knn,1,1.0000 ± 0.0000
21_yeast,10_dynamic+zero+knn,2,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,3,0.9933 ± 0.0000
21_yeast,10_dynamic+zero+knn,4,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,5,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,6,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,7,0.9865 ± 0.0000
21_yeast,10_dynamic+zero+knn,8,0.9933 ± 0.0000
21_yeast,10_dynamic+zero+knn,9,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,10,0.9899 ± 0.0000
21_yeast,10_dynamic+zero+knn,11,1.0000 ± 0.0000
21_yeast,10_dynamic+zero+knn,12,0.9933 ± 0.0000
21_yeast,10_dynamic+zero+knn,13,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,14,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,15,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,16,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,17,0.9933 ± 0.0000
21_yeast,10_dynamic+zero+knn,18,1.0000 ± 0.0000
21_yeast,10_dynamic+zero+knn,19,0.9933 ± 0.0000
21_yeast,10_dynamic+zero+knn,20,1.0000 ± 0.0000
21_yeast,10_dynamic+zero+knn,21,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,22,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,23,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,24,1.0000 ± 0.0000
21_yeast,10_dynamic+zero+knn,25,1.0000 ± 0.0000
21_yeast,10_dynamic+zero+knn,26,0.9966 ± 0.0000
21_yeast,10_dynamic+zero+knn,27,1.0000 ± 0.0000
21_yeast,10_dynamic+zero+knn,28,1.0000 ± 0.0000
21_yeast,10_dynamic+zero+knn,29,1.0000 ± 0.0000
21_yeast,10_dynamic+zero+knn,30,0.9966 ± 0.0000
21_yeast,11_all(dynamic+datawig+zero+knn),1,1.0000 ± 0.0000
21_yeast,11_all(dynamic+datawig+zero+knn),2,0.9983 ± 0.0017
21_yeast,11_all(dynamic+datawig+zero+knn),3,0.9949 ± 0.0058
21_yeast,11_all(dynamic+datawig+zero+knn),4,0.9945 ± 0.0052
21_yeast,11_all(dynamic+datawig+zero+knn),5,0.9943 ± 0.0050
21_yeast,11_all(dynamic+datawig+zero+knn),6,0.9942 ± 0.0049
21_yeast,11_all(dynamic+datawig+zero+knn),7,0.9934 ± 0.0050
21_yeast,11_all(dynamic+datawig+zero+knn),8,0.9932 ± 0.0048
21_yeast,11_all(dynamic+datawig+zero+knn),9,0.9935 ± 0.0047
21_yeast,11_all(dynamic+datawig+zero+knn),10,0.9934 ± 0.0045
21_yeast,11_all(dynamic+datawig+zero+knn),11,0.9937 ± 0.0045
21_yeast,11_all(dynamic+datawig+zero+knn),12,0.9937 ± 0.0043
21_yeast,11_all(dynamic+datawig+zero+knn),13,0.9940 ± 0.0043
21_yeast,11_all(dynamic+datawig+zero+knn),14,0.9940 ± 0.0042
21_yeast,11_all(dynamic+datawig+zero+knn),15,0.9944 ± 0.0042
21_yeast,11_all(dynamic+datawig+zero+knn),16,0.9945 ± 0.0041
21_yeast,11_all(dynamic+datawig+zero+knn),17,0.9943 ± 0.0042
21_yeast,11_all(dynamic+datawig+zero+knn),18,0.9943 ± 0.0041
21_yeast,11_all(dynamic+datawig+zero+knn),19,0.9943 ± 0.0040
21_yeast,11_all(dynamic+datawig+zero+knn),20,0.9945 ± 0.0040
21_yeast,11_all(dynamic+datawig+zero+knn),21,0.9946 ± 0.0040
21_yeast,11_all(dynamic+datawig+zero+knn),22,0.9945 ± 0.0039
21_yeast,11_all(dynamic+datawig+zero+knn),23,0.9946 ± 0.0038
21_yeast,11_all(dynamic+datawig+zero+knn),24,0.9947 ± 0.0038
21_yeast,11_all(dynamic+datawig+zero+knn),25,0.9949 ± 0.0039
21_yeast,11_all(dynamic+datawig+zero+knn),26,0.9950 ± 0.0038
21_yeast,11_all(dynamic+datawig+zero+knn),27,0.9952 ± 0.0039
21_yeast,11_all(dynamic+datawig+zero+knn),28,0.9954 ± 0.0039
21_yeast,11_all(dynamic+datawig+zero+knn),29,0.9954 ± 0.0039
21_yeast,11_all(dynamic+datawig+zero+knn),30,0.9955 ± 0.0038
21_yeast,datawig,1,0.0000 ± 0.0000
21_yeast,datawig,2,0.0034 ± 0.0000
21_yeast,datawig,3,0.0067 ± 0.0000
21_yeast,datawig,4,0.0034 ± 0.0000
21_yeast,datawig,5,0.0034 ± 0.0000
21_yeast,datawig,6,0.0034 ± 0.0000
21_yeast,datawig,7,0.0135 ± 0.0000
21_yeast,datawig,8,0.0067 ± 0.0000
21_yeast,datawig,9,0.0034 ± 0.0000
21_yeast,datawig,10,0.0101 ± 0.0000
21_yeast,datawig,11,0.0000 ± 0.0000
21_yeast,datawig,12,0.0067 ± 0.0000
21_yeast,datawig,13,0.0034 ± 0.0000
21_yeast,datawig,14,0.0034 ± 0.0000
21_yeast,datawig,15,0.0034 ± 0.0000
21_yeast,datawig,16,0.0034 ± 0.0000
21_yeast,datawig,17,0.0067 ± 0.0000
21_yeast,datawig,18,0.0000 ± 0.0000
21_yeast,datawig,19,0.0067 ± 0.0000
21_yeast,datawig,20,0.0000 ± 0.0000
21_yeast,datawig,21,0.0034 ± 0.0000
21_yeast,datawig,22,0.0034 ± 0.0000
21_yeast,datawig,23,0.0034 ± 0.0000
21_yeast,datawig,24,0.0000 ± 0.0000
21_yeast,datawig,25,0.0000 ± 0.0000
21_yeast,datawig,26,0.0034 ± 0.0000
21_yeast,datawig,27,0.0000 ± 0.0000
21_yeast,datawig,28,0.0000 ± 0.0000
21_yeast,datawig,29,0.0000 ± 0.0000
21_yeast,datawig,30,0.0034 ± 0.0000
21_yeast,dynamic,1,0.3603 ± 0.0000
21_yeast,dynamic,2,0.3603 ± 0.0000
21_yeast,dynamic,3,0.3603 ± 0.0000
21_yeast,dynamic,4,0.3704 ± 0.0000
21_yeast,dynamic,5,0.3670 ± 0.0000
21_yeast,dynamic,6,0.3535 ± 0.0000
21_yeast,dynamic,7,0.3468 ± 0.0000
21_yeast,dynamic,8,0.3569 ± 0.0000
21_yeast,dynamic,9,0.3939 ± 0.0000
21_yeast,dynamic,10,0.3771 ± 0.0000
21_yeast,dynamic,11,0.4242 ± 0.0000
21_yeast,dynamic,12,0.3131 ± 0.0000
21_yeast,dynamic,13,0.3603 ± 0.0000
21_yeast,dynamic,14,0.4310 ± 0.0000
21_yeast,dynamic,15,0.3468 ± 0.0000
21_yeast,dynamic,16,0.3434 ± 0.0000
21_yeast,dynamic,17,0.3805 ± 0.0000
21_yeast,dynamic,18,0.3704 ± 0.0000
21_yeast,dynamic,19,0.3333 ± 0.0000
21_yeast,dynamic,20,0.4108 ± 0.0000
21_yeast,dynamic,21,0.3367 ± 0.0000
21_yeast,dynamic,22,0.3636 ± 0.0000
21_yeast,dynamic,23,0.3367 ± 0.0000
21_yeast,dynamic,24,0.3771 ± 0.0000
21_yeast,dynamic,25,0.4074 ± 0.0000
21_yeast,dynamic,26,0.3805 ± 0.0000
21_yeast,dynamic,27,0.3704 ± 0.0000
21_yeast,dynamic,28,0.3535 ± 0.0000
21_yeast,dynamic,29,0.3771 ± 0.0000
21_yeast,dynamic,30,0.3670 ± 0.0000
