Dataset,method,Experiment,Accuracy
6_chess,7_dynamic + datawig + zero,12,0.9503 ± 0.0030
6_chess,7_dynamic + datawig + zero,13,0.9501 ± 0.0030
6_chess,7_dynamic + datawig + zero,14,0.9497 ± 0.0032
6_chess,7_dynamic + datawig + zero,15,0.9497 ± 0.0031
6_chess,7_dynamic + datawig + zero,16,0.9498 ± 0.0031
6_chess,7_dynamic + datawig + zero,17,0.9496 ± 0.0032
6_chess,7_dynamic + datawig + zero,18,0.9497 ± 0.0032
6_chess,7_dynamic + datawig + zero,19,0.9497 ± 0.0032
6_chess,7_dynamic + datawig + zero,20,0.9495 ± 0.0032
6_chess,7_dynamic + datawig + zero,21,0.9496 ± 0.0032
6_chess,7_dynamic + datawig + zero,22,0.9496 ± 0.0031
6_chess,7_dynamic + datawig + zero,23,0.9495 ± 0.0031
6_chess,7_dynamic + datawig + zero,24,0.9495 ± 0.0031
6_chess,7_dynamic + datawig + zero,25,0.9494 ± 0.0031
6_chess,7_dynamic + datawig + zero,26,0.9494 ± 0.0030
6_chess,7_dynamic + datawig + zero,27,0.9495 ± 0.0030
6_chess,7_dynamic + datawig + zero,28,0.9493 ± 0.0032
6_chess,7_dynamic + datawig + zero,29,0.9494 ± 0.0032
6_chess,7_dynamic + datawig + zero,30,0.9494 ± 0.0031
6_chess,8_dynamic + datawig + knn,1,0.9493 ± 0.0017
6_chess,8_dynamic + datawig + knn,2,0.9509 ± 0.0023
6_chess,8_dynamic + datawig + knn,3,0.9510 ± 0.0020
6_chess,8_dynamic + datawig + knn,4,0.9500 ± 0.0025
6_chess,8_dynamic + datawig + knn,5,0.9492 ± 0.0029
6_chess,8_dynamic + datawig + knn,6,0.9494 ± 0.0028
6_chess,8_dynamic + datawig + knn,7,0.9494 ± 0.0026
6_chess,8_dynamic + datawig + knn,8,0.9497 ± 0.0026
6_chess,8_dynamic + datawig + knn,9,0.9502 ± 0.0030
6_chess,8_dynamic + datawig + knn,10,0.9502 ± 0.0029
6_chess,8_dynamic + datawig + knn,11,0.9498 ± 0.0031
6_chess,8_dynamic + datawig + knn,12,0.9496 ± 0.0030
6_chess,8_dynamic + datawig + knn,13,0.9495 ± 0.0030
6_chess,8_dynamic + datawig + knn,14,0.9491 ± 0.0033
6_chess,8_dynamic + datawig + knn,15,0.9491 ± 0.0032
6_chess,8_dynamic + datawig + knn,16,0.9493 ± 0.0032
6_chess,8_dynamic + datawig + knn,17,0.9491 ± 0.0033
6_chess,8_dynamic + datawig + knn,18,0.9491 ± 0.0033
6_chess,8_dynamic + datawig + knn,19,0.9491 ± 0.0033
6_chess,8_dynamic + datawig + knn,20,0.9489 ± 0.0033
6_chess,8_dynamic + datawig + knn,21,0.9489 ± 0.0033
6_chess,8_dynamic + datawig + knn,22,0.9490 ± 0.0033
6_chess,8_dynamic + datawig + knn,23,0.9488 ± 0.0033
6_chess,8_dynamic + datawig + knn,24,0.9488 ± 0.0032
6_chess,8_dynamic + datawig + knn,25,0.9488 ± 0.0032
6_chess,8_dynamic + datawig + knn,26,0.9489 ± 0.0032
6_chess,8_dynamic + datawig + knn,27,0.9489 ± 0.0032
6_chess,8_dynamic + datawig + knn,28,0.9487 ± 0.0034
6_chess,8_dynamic + datawig + knn,29,0.9488 ± 0.0033
6_chess,8_dynamic + datawig + knn,30,0.9487 ± 0.0033
6_chess,9_datawig+zero+knn.py,1,0.0497 ± 0.0000
6_chess,9_datawig+zero+knn.py,2,0.0489 ± 0.0008
6_chess,9_datawig+zero+knn.py,3,0.0487 ± 0.0008
6_chess,9_datawig+zero+knn.py,4,0.0497 ± 0.0020
6_chess,9_datawig+zero+knn.py,5,0.0509 ± 0.0029
6_chess,9_datawig+zero+knn.py,6,0.0513 ± 0.0028
6_chess,9_datawig+zero+knn.py,7,0.0514 ± 0.0026
6_chess,9_datawig+zero+knn.py,8,0.0509 ± 0.0027
6_chess,9_datawig+zero+knn.py,9,0.0503 ± 0.0032
6_chess,9_datawig+zero+knn.py,10,0.0503 ± 0.0030
6_chess,9_datawig+zero+knn.py,11,0.0506 ± 0.0031
6_chess,9_datawig+zero+knn.py,12,0.0509 ± 0.0031
6_chess,9_datawig+zero+knn.py,13,0.0509 ± 0.0029
6_chess,9_datawig+zero+knn.py,14,0.0515 ± 0.0035
6_chess,9_datawig+zero+knn.py,15,0.0515 ± 0.0034
6_chess,9_datawig+zero+knn.py,16,0.0513 ± 0.0034
6_chess,9_datawig+zero+knn.py,17,0.0516 ± 0.0034
6_chess,9_datawig+zero+knn.py,18,0.0515 ± 0.0033
6_chess,9_datawig+zero+knn.py,19,0.0516 ± 0.0033
6_chess,9_datawig+zero+knn.py,20,0.0518 ± 0.0034
6_chess,9_datawig+zero+knn.py,21,0.0517 ± 0.0033
6_chess,9_datawig+zero+knn.py,22,0.0516 ± 0.0033
6_chess,9_datawig+zero+knn.py,23,0.0518 ± 0.0033
6_chess,9_datawig+zero+knn.py,24,0.0518 ± 0.0032
6_chess,9_datawig+zero+knn.py,25,0.0519 ± 0.0032
6_chess,9_datawig+zero+knn.py,26,0.0518 ± 0.0031
6_chess,9_datawig+zero+knn.py,27,0.0517 ± 0.0032
6_chess,9_datawig+zero+knn.py,28,0.0517 ± 0.0032
6_chess,9_datawig+zero+knn.py,29,0.0518 ± 0.0031
6_chess,9_datawig+zero+knn.py,30,0.0518 ± 0.0031
6_chess,10_dynamic+zero+knn,1,0.9517 ± 0.0000
6_chess,10_dynamic+zero+knn,2,0.9524 ± 0.0000
6_chess,10_dynamic+zero+knn,3,0.9521 ± 0.0000
6_chess,10_dynamic+zero+knn,4,0.9476 ± 0.0000
6_chess,10_dynamic+zero+knn,5,0.9456 ± 0.0000
6_chess,10_dynamic+zero+knn,6,0.9480 ± 0.0000
6_chess,10_dynamic+zero+knn,7,0.9481 ± 0.0000
6_chess,10_dynamic+zero+knn,8,0.9528 ± 0.0000
6_chess,10_dynamic+zero+knn,9,0.9558 ± 0.0000
6_chess,10_dynamic+zero+knn,10,0.9492 ± 0.0000
6_chess,10_dynamic+zero+knn,11,0.9469 ± 0.0000
6_chess,10_dynamic+zero+knn,12,0.9465 ± 0.0000
6_chess,10_dynamic+zero+knn,13,0.9478 ± 0.0000
6_chess,10_dynamic+zero+knn,14,0.9426 ± 0.0000
6_chess,10_dynamic+zero+knn,15,0.9497 ± 0.0000
6_chess,10_dynamic+zero+knn,16,0.9524 ± 0.0000
6_chess,10_dynamic+zero+knn,17,0.9442 ± 0.0000
6_chess,10_dynamic+zero+knn,18,0.9508 ± 0.0000
6_chess,10_dynamic+zero+knn,19,0.9471 ± 0.0000
6_chess,10_dynamic+zero+knn,20,0.9448 ± 0.0000
6_chess,10_dynamic+zero+knn,21,0.9510 ± 0.0000
6_chess,10_dynamic+zero+knn,22,0.9512 ± 0.0000
6_chess,10_dynamic+zero+knn,23,0.9458 ± 0.0000
6_chess,10_dynamic+zero+knn,24,0.9485 ± 0.0000
6_chess,10_dynamic+zero+knn,25,0.9471 ± 0.0000
6_chess,10_dynamic+zero+knn,26,0.9505 ± 0.0000
6_chess,10_dynamic+zero+knn,27,0.9526 ± 0.0000
6_chess,10_dynamic+zero+knn,28,0.9465 ± 0.0000
6_chess,10_dynamic+zero+knn,29,0.9490 ± 0.0000
6_chess,10_dynamic+zero+knn,30,0.9480 ± 0.0000
6_chess,11_all(dynamic+datawig+zero+knn),1,0.9503 ± 0.0021
6_chess,11_all(dynamic+datawig+zero+knn),2,0.9522 ± 0.0027
6_chess,11_all(dynamic+datawig+zero+knn),3,0.9519 ± 0.0023
6_chess,11_all(dynamic+datawig+zero+knn),4,0.9509 ± 0.0027
