Dataset,method,Experiment,Accuracy
23_ai4i,6_dynamic + datawig,13,0.5397 ± 0.0592
23_ai4i,6_dynamic + datawig,14,0.5401 ± 0.0586
23_ai4i,6_dynamic + datawig,15,0.5405 ± 0.0580
23_ai4i,6_dynamic + datawig,16,0.5413 ± 0.0583
23_ai4i,6_dynamic + datawig,17,0.5409 ± 0.0585
23_ai4i,6_dynamic + datawig,18,0.5410 ± 0.0590
23_ai4i,6_dynamic + datawig,19,0.5408 ± 0.0590
23_ai4i,6_dynamic + datawig,20,0.5406 ± 0.0595
23_ai4i,6_dynamic + datawig,21,0.5406 ± 0.0598
23_ai4i,6_dynamic + datawig,22,0.5408 ± 0.0598
23_ai4i,6_dynamic + datawig,23,0.5408 ± 0.0592
23_ai4i,6_dynamic + datawig,24,0.5408 ± 0.0593
23_ai4i,6_dynamic + datawig,25,0.5409 ± 0.0590
23_ai4i,6_dynamic + datawig,26,0.5410 ± 0.0592
23_ai4i,6_dynamic + datawig,27,0.5408 ± 0.0593
23_ai4i,6_dynamic + datawig,28,0.5410 ± 0.0590
23_ai4i,6_dynamic + datawig,29,0.5407 ± 0.0591
23_ai4i,6_dynamic + datawig,30,0.5409 ± 0.0591
23_ai4i,7_dynamic + datawig + zero,1,0.5658 ± 0.0582
23_ai4i,7_dynamic + datawig + zero,2,0.5625 ± 0.0567
23_ai4i,7_dynamic + datawig + zero,3,0.5629 ± 0.0578
23_ai4i,7_dynamic + datawig + zero,4,0.5612 ± 0.0570
23_ai4i,7_dynamic + datawig + zero,5,0.5614 ± 0.0577
23_ai4i,7_dynamic + datawig + zero,6,0.5624 ± 0.0575
23_ai4i,7_dynamic + datawig + zero,7,0.5613 ± 0.0567
23_ai4i,7_dynamic + datawig + zero,8,0.5618 ± 0.0581
23_ai4i,7_dynamic + datawig + zero,9,0.5618 ± 0.0575
23_ai4i,7_dynamic + datawig + zero,10,0.5607 ± 0.0561
23_ai4i,7_dynamic + datawig + zero,11,0.5603 ± 0.0557
23_ai4i,7_dynamic + datawig + zero,12,0.5599 ± 0.0558
23_ai4i,7_dynamic + datawig + zero,13,0.5592 ± 0.0560
23_ai4i,7_dynamic + datawig + zero,14,0.5593 ± 0.0554
23_ai4i,7_dynamic + datawig + zero,15,0.5595 ± 0.0548
23_ai4i,7_dynamic + datawig + zero,16,0.5604 ± 0.0553
23_ai4i,7_dynamic + datawig + zero,17,0.5601 ± 0.0554
23_ai4i,7_dynamic + datawig + zero,18,0.5603 ± 0.0559
23_ai4i,7_dynamic + datawig + zero,19,0.5601 ± 0.0559
23_ai4i,7_dynamic + datawig + zero,20,0.5601 ± 0.0563
23_ai4i,7_dynamic + datawig + zero,21,0.5601 ± 0.0565
23_ai4i,7_dynamic + datawig + zero,22,0.5604 ± 0.0565
23_ai4i,7_dynamic + datawig + zero,23,0.5602 ± 0.0560
23_ai4i,7_dynamic + datawig + zero,24,0.5602 ± 0.0561
23_ai4i,7_dynamic + datawig + zero,25,0.5602 ± 0.0558
23_ai4i,7_dynamic + datawig + zero,26,0.5604 ± 0.0560
23_ai4i,7_dynamic + datawig + zero,27,0.5602 ± 0.0561
23_ai4i,7_dynamic + datawig + zero,28,0.5603 ± 0.0558
23_ai4i,7_dynamic + datawig + zero,29,0.5601 ± 0.0558
23_ai4i,7_dynamic + datawig + zero,30,0.5603 ± 0.0558
23_ai4i,8_dynamic + datawig + knn,1,0.5660 ± 0.0580
23_ai4i,8_dynamic + datawig + knn,2,0.5626 ± 0.0566
23_ai4i,8_dynamic + datawig + knn,3,0.5629 ± 0.0577
23_ai4i,8_dynamic + datawig + knn,4,0.5612 ± 0.0570
23_ai4i,8_dynamic + datawig + knn,5,0.5615 ± 0.0576
23_ai4i,8_dynamic + datawig + knn,6,0.5624 ± 0.0574
23_ai4i,8_dynamic + datawig + knn,7,0.5613 ± 0.0566
23_ai4i,8_dynamic + datawig + knn,8,0.5618 ± 0.0580
23_ai4i,8_dynamic + datawig + knn,9,0.5618 ± 0.0574
23_ai4i,8_dynamic + datawig + knn,10,0.5607 ± 0.0560
23_ai4i,8_dynamic + datawig + knn,11,0.5603 ± 0.0556
23_ai4i,8_dynamic + datawig + knn,12,0.5599 ± 0.0557
23_ai4i,8_dynamic + datawig + knn,13,0.5593 ± 0.0559
23_ai4i,8_dynamic + datawig + knn,14,0.5593 ± 0.0553
23_ai4i,8_dynamic + datawig + knn,15,0.5596 ± 0.0548
23_ai4i,8_dynamic + datawig + knn,16,0.5604 ± 0.0551
23_ai4i,8_dynamic + datawig + knn,17,0.5602 ± 0.0553
23_ai4i,8_dynamic + datawig + knn,18,0.5604 ± 0.0558
23_ai4i,8_dynamic + datawig + knn,19,0.5602 ± 0.0558
23_ai4i,8_dynamic + datawig + knn,20,0.5602 ± 0.0562
23_ai4i,8_dynamic + datawig + knn,21,0.5602 ± 0.0565
23_ai4i,8_dynamic + datawig + knn,22,0.5605 ± 0.0565
23_ai4i,8_dynamic + datawig + knn,23,0.5603 ± 0.0559
23_ai4i,8_dynamic + datawig + knn,24,0.5603 ± 0.0560
23_ai4i,8_dynamic + datawig + knn,25,0.5603 ± 0.0558
23_ai4i,8_dynamic + datawig + knn,26,0.5604 ± 0.0560
23_ai4i,8_dynamic + datawig + knn,27,0.5603 ± 0.0560
23_ai4i,8_dynamic + datawig + knn,28,0.5604 ± 0.0558
23_ai4i,8_dynamic + datawig + knn,29,0.5601 ± 0.0558
23_ai4i,8_dynamic + datawig + knn,30,0.5604 ± 0.0558
23_ai4i,10_dynamic+zero+knn,1,0.4840 ± 0.0000
23_ai4i,10_dynamic+zero+knn,2,0.4815 ± 0.0000
23_ai4i,10_dynamic+zero+knn,3,0.4800 ± 0.0000
23_ai4i,10_dynamic+zero+knn,4,0.4790 ± 0.0000
23_ai4i,10_dynamic+zero+knn,5,0.4775 ± 0.0000
23_ai4i,10_dynamic+zero+knn,6,0.4875 ± 0.0000
23_ai4i,10_dynamic+zero+knn,7,0.4830 ± 0.0000
23_ai4i,10_dynamic+zero+knn,8,0.4705 ± 0.0000
23_ai4i,10_dynamic+zero+knn,9,0.4885 ± 0.0000
23_ai4i,10_dynamic+zero+knn,10,0.4940 ± 0.0000
23_ai4i,10_dynamic+zero+knn,11,0.4845 ± 0.0000
23_ai4i,10_dynamic+zero+knn,12,0.4760 ± 0.0000
23_ai4i,10_dynamic+zero+knn,13,0.4700 ± 0.0000
23_ai4i,10_dynamic+zero+knn,14,0.4940 ± 0.0000
23_ai4i,10_dynamic+zero+knn,15,0.4975 ± 0.0000
23_ai4i,10_dynamic+zero+knn,16,0.4920 ± 0.0000
23_ai4i,10_dynamic+zero+knn,17,0.4740 ± 0.0000
23_ai4i,10_dynamic+zero+knn,18,0.4740 ± 0.0000
23_ai4i,10_dynamic+zero+knn,19,0.4775 ± 0.0000
23_ai4i,10_dynamic+zero+knn,20,0.4705 ± 0.0000
23_ai4i,10_dynamic+zero+knn,21,0.4745 ± 0.0000
23_ai4i,10_dynamic+zero+knn,22,0.4885 ± 0.0000
23_ai4i,10_dynamic+zero+knn,23,0.4950 ± 0.0000
23_ai4i,10_dynamic+zero+knn,24,0.4790 ± 0.0000
23_ai4i,10_dynamic+zero+knn,25,0.4915 ± 0.0000
23_ai4i,10_dynamic+zero+knn,26,0.4775 ± 0.0000
23_ai4i,10_dynamic+zero+knn,27,0.4755 ± 0.0000
23_ai4i,10_dynamic+zero+knn,28,0.4950 ± 0.0000
23_ai4i,10_dynamic+zero+knn,29,0.4730 ± 0.0000
23_ai4i,10_dynamic+zero+knn,30,0.4885 ± 0.0000
23_ai4i,11_all(dynamic+datawig+zero+knn),1,0.5761 ± 0.0535
23_ai4i,11_all(dynamic+datawig+zero+knn),2,0.5728 ± 0.0516
23_ai4i,11_all(dynamic+datawig+zero+knn),3,0.5733 ± 0.0527
23_ai4i,11_all(dynamic+datawig+zero+knn),4,0.5714 ± 0.0521
23_ai4i,11_all(dynamic+datawig+zero+knn),5,0.5718 ± 0.0527
23_ai4i,11_all(dynamic+datawig+zero+knn),6,0.5727 ± 0.0526
23_ai4i,11_all(dynamic+datawig+zero+knn),7,0.5714 ± 0.0519
23_ai4i,11_all(dynamic+datawig+zero+knn),8,0.5721 ± 0.0533
23_ai4i,11_all(dynamic+datawig+zero+knn),9,0.5720 ± 0.0527
23_ai4i,11_all(dynamic+datawig+zero+knn),10,0.5705 ± 0.0515
23_ai4i,11_all(dynamic+datawig+zero+knn),11,0.5701 ± 0.0511
23_ai4i,11_all(dynamic+datawig+zero+knn),12,0.5697 ± 0.0512
23_ai4i,11_all(dynamic+datawig+zero+knn),13,0.5691 ± 0.0515
23_ai4i,11_all(dynamic+datawig+zero+knn),14,0.5691 ± 0.0509
23_ai4i,11_all(dynamic+datawig+zero+knn),15,0.5692 ± 0.0503
23_ai4i,11_all(dynamic+datawig+zero+knn),16,0.5701 ± 0.0507
23_ai4i,11_all(dynamic+datawig+zero+knn),17,0.5699 ± 0.0508
23_ai4i,11_all(dynamic+datawig+zero+knn),18,0.5702 ± 0.0512
23_ai4i,11_all(dynamic+datawig+zero+knn),19,0.5700 ± 0.0513
23_ai4i,11_all(dynamic+datawig+zero+knn),20,0.5701 ± 0.0517
23_ai4i,11_all(dynamic+datawig+zero+knn),21,0.5702 ± 0.0519
23_ai4i,11_all(dynamic+datawig+zero+knn),22,0.5704 ± 0.0519
