Dataset,method,Experiment,Accuracy
17_bank,10_dynamic+zero+knn,28,0.8656 ± 0.0172
17_bank,10_dynamic+zero+knn,29,0.8653 ± 0.0172
17_bank,10_dynamic+zero+knn,30,0.8659 ± 0.0174
17_bank,11_all(dynamic+datawig+zero+knn),1,0.8707 ± 0.0054
17_bank,11_all(dynamic+datawig+zero+knn),2,0.8656 ± 0.0094
17_bank,11_all(dynamic+datawig+zero+knn),3,0.8721 ± 0.0137
17_bank,11_all(dynamic+datawig+zero+knn),4,0.8739 ± 0.0129
17_bank,11_all(dynamic+datawig+zero+knn),5,0.8738 ± 0.0125
17_bank,11_all(dynamic+datawig+zero+knn),6,0.8732 ± 0.0122
17_bank,11_all(dynamic+datawig+zero+knn),7,0.8707 ± 0.0136
17_bank,11_all(dynamic+datawig+zero+knn),8,0.8705 ± 0.0134
17_bank,11_all(dynamic+datawig+zero+knn),9,0.8693 ± 0.0135
17_bank,11_all(dynamic+datawig+zero+knn),10,0.8674 ± 0.0144
17_bank,11_all(dynamic+datawig+zero+knn),11,0.8675 ± 0.0139
17_bank,11_all(dynamic+datawig+zero+knn),12,0.8685 ± 0.0140
17_bank,11_all(dynamic+datawig+zero+knn),13,0.8676 ± 0.0142
17_bank,11_all(dynamic+datawig+zero+knn),14,0.8673 ± 0.0142
17_bank,11_all(dynamic+datawig+zero+knn),15,0.8675 ± 0.0139
17_bank,11_all(dynamic+datawig+zero+knn),16,0.8673 ± 0.0137
17_bank,11_all(dynamic+datawig+zero+knn),17,0.8669 ± 0.0136
17_bank,11_all(dynamic+datawig+zero+knn),18,0.8669 ± 0.0135
17_bank,11_all(dynamic+datawig+zero+knn),19,0.8671 ± 0.0133
17_bank,11_all(dynamic+datawig+zero+knn),20,0.8675 ± 0.0133
17_bank,11_all(dynamic+datawig+zero+knn),21,0.8684 ± 0.0137
17_bank,11_all(dynamic+datawig+zero+knn),22,0.8679 ± 0.0139
17_bank,11_all(dynamic+datawig+zero+knn),23,0.8689 ± 0.0145
17_bank,11_all(dynamic+datawig+zero+knn),24,0.8691 ± 0.0147
17_bank,11_all(dynamic+datawig+zero+knn),25,0.8685 ± 0.0148
17_bank,11_all(dynamic+datawig+zero+knn),26,0.8681 ± 0.0150
17_bank,11_all(dynamic+datawig+zero+knn),27,0.8685 ± 0.0149
17_bank,11_all(dynamic+datawig+zero+knn),28,0.8686 ± 0.0148
17_bank,11_all(dynamic+datawig+zero+knn),29,0.8682 ± 0.0148
17_bank,11_all(dynamic+datawig+zero+knn),30,0.8686 ± 0.0149
