Dataset,method,Experiment,Accuracy
20_obesity,zero,10,0.1537 ± 0.0000
20_obesity,zero,11,0.1277 ± 0.0000
20_obesity,zero,12,0.1489 ± 0.0000
20_obesity,zero,13,0.1466 ± 0.0000
20_obesity,zero,14,0.1300 ± 0.0000
20_obesity,zero,15,0.1418 ± 0.0000
20_obesity,zero,16,0.1300 ± 0.0000
20_obesity,zero,17,0.1253 ± 0.0000
20_obesity,zero,18,0.1442 ± 0.0000
20_obesity,zero,19,0.1253 ± 0.0000
20_obesity,zero,20,0.1348 ± 0.0000
20_obesity,zero,21,0.1513 ± 0.0000
20_obesity,zero,22,0.1229 ± 0.0000
20_obesity,zero,23,0.1158 ± 0.0000
20_obesity,zero,24,0.1537 ± 0.0000
20_obesity,zero,25,0.1300 ± 0.0000
20_obesity,zero,26,0.1277 ± 0.0000
20_obesity,zero,27,0.1229 ± 0.0000
20_obesity,zero,28,0.1560 ± 0.0000
20_obesity,zero,29,0.1253 ± 0.0000
20_obesity,zero,30,0.1229 ± 0.0000
20_obesity,8_dynamic + datawig + knn,1,0.8802 ± 0.0118
20_obesity,8_dynamic + datawig + knn,2,0.8913 ± 0.0151
20_obesity,8_dynamic + datawig + knn,3,0.8928 ± 0.0216
20_obesity,8_dynamic + datawig + knn,4,0.8901 ± 0.0199
20_obesity,8_dynamic + datawig + knn,5,0.8884 ± 0.0191
20_obesity,8_dynamic + datawig + knn,6,0.8823 ± 0.0229
20_obesity,8_dynamic + datawig + knn,7,0.8816 ± 0.0217
20_obesity,8_dynamic + datawig + knn,8,0.8812 ± 0.0217
20_obesity,8_dynamic + datawig + knn,9,0.8807 ± 0.0213
20_obesity,8_dynamic + datawig + knn,10,0.8802 ± 0.0213
20_obesity,8_dynamic + datawig + knn,11,0.8817 ± 0.0212
20_obesity,8_dynamic + datawig + knn,12,0.8813 ± 0.0213
20_obesity,8_dynamic + datawig + knn,13,0.8816 ± 0.0216
20_obesity,8_dynamic + datawig + knn,14,0.8810 ± 0.0212
20_obesity,8_dynamic + datawig + knn,15,0.8809 ± 0.0208
20_obesity,8_dynamic + datawig + knn,16,0.8812 ± 0.0205
20_obesity,8_dynamic + datawig + knn,17,0.8817 ± 0.0200
20_obesity,8_dynamic + datawig + knn,18,0.8814 ± 0.0197
20_obesity,8_dynamic + datawig + knn,19,0.8826 ± 0.0204
20_obesity,8_dynamic + datawig + knn,20,0.8828 ± 0.0202
20_obesity,8_dynamic + datawig + knn,21,0.8828 ± 0.0203
20_obesity,8_dynamic + datawig + knn,22,0.8835 ± 0.0205
20_obesity,8_dynamic + datawig + knn,23,0.8835 ± 0.0201
20_obesity,8_dynamic + datawig + knn,24,0.8831 ± 0.0203
20_obesity,8_dynamic + datawig + knn,25,0.8836 ± 0.0203
20_obesity,8_dynamic + datawig + knn,26,0.8836 ± 0.0201
20_obesity,8_dynamic + datawig + knn,27,0.8846 ± 0.0210
20_obesity,8_dynamic + datawig + knn,28,0.8839 ± 0.0212
20_obesity,8_dynamic + datawig + knn,29,0.8839 ± 0.0209
20_obesity,8_dynamic + datawig + knn,30,0.8843 ± 0.0208
20_obesity,9_datawig+zero+knn.py,1,0.1986 ± 0.0480
20_obesity,9_datawig+zero+knn.py,2,0.1848 ± 0.0504
20_obesity,9_datawig+zero+knn.py,3,0.1786 ± 0.0430
20_obesity,9_datawig+zero+knn.py,4,0.1791 ± 0.0408
20_obesity,9_datawig+zero+knn.py,5,0.1797 ± 0.0396
20_obesity,9_datawig+zero+knn.py,6,0.1844 ± 0.0402
20_obesity,9_datawig+zero+knn.py,7,0.1857 ± 0.0403
20_obesity,9_datawig+zero+knn.py,8,0.1876 ± 0.0402
20_obesity,9_datawig+zero+knn.py,9,0.1891 ± 0.0407
20_obesity,9_datawig+zero+knn.py,10,0.1882 ± 0.0392
20_obesity,9_datawig+zero+knn.py,11,0.1870 ± 0.0391
20_obesity,9_datawig+zero+knn.py,12,0.1875 ± 0.0389
20_obesity,9_datawig+zero+knn.py,13,0.1880 ± 0.0388
20_obesity,9_datawig+zero+knn.py,14,0.1877 ± 0.0387
20_obesity,9_datawig+zero+knn.py,15,0.1882 ± 0.0389
20_obesity,9_datawig+zero+knn.py,16,0.1862 ± 0.0396
20_obesity,9_datawig+zero+knn.py,17,0.1854 ± 0.0396
20_obesity,9_datawig+zero+knn.py,18,0.1862 ± 0.0397
20_obesity,9_datawig+zero+knn.py,19,0.1852 ± 0.0395
20_obesity,9_datawig+zero+knn.py,20,0.1844 ± 0.0392
20_obesity,9_datawig+zero+knn.py,21,0.1850 ± 0.0391
20_obesity,9_datawig+zero+knn.py,22,0.1852 ± 0.0397
20_obesity,9_datawig+zero+knn.py,23,0.1849 ± 0.0400
20_obesity,9_datawig+zero+knn.py,24,0.1846 ± 0.0394
20_obesity,9_datawig+zero+knn.py,25,0.1839 ± 0.0391
